,SGU - DeepSeek,SGU - Gemini,SGU - OpenAI
Number of Nodes,170,148,81
Number of Edges,195,147,80
Average Degree,2.29,1.99,1.98
Top 5 Central Nodes,"[('Trường Đại học Sài Gòn', 0.959), ('Tạp chí Khoa học Đại học Sài Gòn', 0.053), ('Đề tài NCKH cấp cơ sở', 0.03), ('Quyền li NCKH', 0.03), ('Phòng Quản lý Khoa học', 0.03)]","[('Trường Đại học Sài Gòn', 1.0), ('Tiến sĩ', 0.007), ('Cao học', 0.007), ('Đại học', 0.007), ('Chương trình đào tạo Tiến sĩ', 0.007)]","[('Trường Đại học Sài Gòn', 0.413), ('Chương trình đại trà', 0.25), ('Trình độ Sau Đại học', 0.1), ('Trình độ Tiến sĩ', 0.075), ('Các chương trình hợp tác', 0.075)]"
Number of 'is-a' Relationships,5,3,3
Number of 'part-of' Relationships,66,57,11
Diameter of Largest SCC,Không tính được,Không tính được,Không tính được
Clustering Coefficient,0.113,0.0,0.0
Density,0.007,0.007,0.012
Number of Strongly Connected Components,170,148,81
Average In-Degree,1.15,0.99,0.99
Average Out-Degree,1.15,0.99,0.99
Indirect-to-Direct Ratio,1.0,1.0,1.0
