id,labels,properties
0,[University],"{description: Trường Đại học công lập trực thuộc UBND TP. Hồ Chí Minh, đào tạo đa ngành từ trình độ đại học đến sau đại học với các phương thức chính quy và giáo dục thường xuyên, name: Trường Đại học Sài Gòn}"
1,[Degree],"{description: Trình độ đại học với 39 chương trình đào tạo thuộc các lĩnh vực Kinh tế - Kỹ thuật - Công nghệ, Văn hóa xã hội, chính trị, Nghệ thuật và Sư phạm, name: Cử nhân}"
2,[Degree],"{description: Trình độ sau đại học với 12 chuyên ngành cao học, name: Thạc sĩ}"
3,[Degree],"{description: Trình độ sau đại học cao nhất với 05 chuyên ngành tiến sĩ, name: Tiến sĩ}"
4,[Degree],"{description: Chương trình đào tạo thứ hai cho người đã có ít nhất một bằng đại học, name: Văn bằng hai}"
5,[Degree],"{description: Chương trình đào tạo liên thông từ trình độ thấp lên trình độ cao hơn, name: Liên thông}"
6,[Program],"{description: Phương thức đào tạo tập trung toàn thời gian, name: Chính quy}"
7,[Program],"{description: Phương thức đào tạo không tập trung bao gồm vừa làm vừa học, văn bằng hai, liên thông, name: Giáo dục thường xuyên}"
8,[Certificate],"{description: Chứng chỉ bồi dưỡng nghiệp vụ sư phạm cho giảng viên đại học, cao đẳng và giáo viên Tiếng Anh Tiểu học, name: Bồi dưỡng nghiệp vụ sư phạm}"
9,[Certificate],"{description: Chứng chỉ về lĩnh vực Công nghệ Thông tin, name: Công nghệ Thông tin}"
10,[Certificate],"{description: Chứng chỉ Tiếng Anh theo khung năng lực Ngoại ngữ 6 bậc dùng cho Việt Nam, name: Tiếng Anh theo khung năng lực 6 bậc}"
11,[Accreditation],"{description: Được chứng nhận kiểm định chất lượng giáo dục trường đại học vào ngày 13/5/2017, name: Kiểm định chất lượng giáo dục}"
12,[Award],"{description: Được Chủ tịch nước trao tặng năm 2018, name: Huân chương Lao động Hạng Ba}"
13,[Field],"{description: Lĩnh vực đào tạo về kinh tế, kỹ thuật và công nghệ, name: Kinh tế - Kỹ thuật - Công nghệ}"
14,[Field],"{description: Lĩnh vực đào tạo về văn hóa và xã hội, name: Văn hóa xã hội}"
15,[Field],"{description: Lĩnh vực đào tạo về chính trị, name: Chính trị}"
16,[Field],"{description: Lĩnh vực đào tạo về nghệ thuật, name: Nghệ thuật}"
17,[Field],"{description: Lĩnh vực đào tạo về sư phạm, name: Sư phạm}"
18,[Department],"{description: Ban lãnh đạo chính trị của trường, name: Đảng ủy}"
19,[Department],"{description: Người đứng đầu nhà trường, name: Hiệu trưởng}"
20,[Department],"{description: Các phó hiệu trưởng phụ trách các lĩnh vực khác nhau, name: Phó Hiệu trưởng}"
21,[Department],"{description: Cơ quan quản trị cao nhất của trường, name: Hội đồng trường}"
22,[Department],"{description: Tổ chức đại diện cho quyền lợi của cán bộ, giảng viên, name: Công đoàn}"
23,[Department],"{description: Tổ chức thanh niên của trường, name: Đoàn Thanh niên}"
24,[Department],"{description: Tổ chức đại diện cho sinh viên, name: Hội Sinh viên}"
25,[Department],"{description: Phụ trách công tác đào tạo chính quy, name: Phòng Đào tạo}"
26,[Department],"{description: Quản lý nhân sự và tổ chức, name: Phòng Tổ chức - Cán bộ}"
27,[Department],"{description: Phụ trách hành chính tổng hợp, name: Văn phòng}"
28,[Department],"{description: Quản lý tài chính và kế hoạch phát triển, name: Phòng Kế hoạch - Tài chính}"
29,[Department],"{description: Quản lý các hoạt động sinh viên, name: Phòng Công tác sinh viên}"
30,[Department],"{description: Quản lý hoạt động nghiên cứu khoa học, name: Phòng Quản lý khoa học}"
31,[Department],"{description: Quản lý đào tạo thạc sĩ, tiến sĩ, name: Phòng Đào tạo sau đại học}"
32,[Department],"{description: Thực hiện công tác thanh tra và pháp chế, name: Phòng Thanh tra - Pháp chế}"
33,[Department],"{description: Quản lý khảo thí và chất lượng đào tạo, name: Phòng Khảo thí & Đảm bảo chất lượng}"
34,[Department],"{description: Quản lý các dự án xây dựng cơ sở vật chất, name: Ban Quản lý Dự án & Xây dựng}"
35,[Department],"{description: Quản lý hợp tác quốc tế và doanh nghiệp, name: Phòng Hợp tác quốc tế & Doanh nghiệp}"
