id,type,source,target,properties
0,hasDegree,0,1,{}
1,hasDegree,0,2,{}
2,hasDegree,0,3,{}
3,hasDegree,0,4,{}
4,hasDegree,0,5,{}
5,offersProgram,0,6,{}
6,offersProgram,0,7,{}
7,offersCertificate,0,8,{}
8,offersCertificate,0,9,{}
9,offersCertificate,0,10,{}
10,hasAccreditation,0,11,{}
11,hasAward,0,12,{}
12,hasField,0,13,{}
13,hasField,0,14,{}
14,hasField,0,15,{}
15,hasField,0,16,{}
16,hasField,0,17,{}
17,hasDepartment,0,18,{}
18,hasDepartment,0,19,{}
19,hasDepartment,0,20,{}
20,hasDepartment,0,21,{}
21,hasDepartment,0,22,{}
22,hasDepartment,0,23,{}
23,hasDepartment,0,24,{}
24,hasDepartment,0,25,{}
25,hasDepartment,0,26,{}
26,hasDepartment,0,27,{}
27,hasDepartment,0,28,{}
28,hasDepartment,0,29,{}
29,hasDepartment,0,30,{}
30,hasDepartment,0,31,{}
31,hasDepartment,0,32,{}
32,hasDepartment,0,33,{}
33,hasDepartment,0,34,{}
34,hasDepartment,0,35,{}
35,hasDepartment,0,36,{}
36,hasDepartment,0,37,{}
37,hasDepartment,0,38,{}
38,hasDepartment,0,39,{}
39,hasDepartment,0,40,{}
40,hasDepartment,0,41,{}
41,hasDepartment,0,42,{}
42,hasDepartment,0,43,{}
43,hasDepartment,0,44,{}
44,hasDepartment,0,45,{}
45,hasDepartment,0,46,{}
46,hasFaculty,0,47,{}
47,hasFaculty,0,48,{}
48,hasFaculty,0,49,{}
49,hasFaculty,0,50,{}
50,hasFaculty,0,51,{}
51,hasFaculty,0,52,{}
52,hasFaculty,0,53,{}
53,hasFaculty,0,54,{}
54,hasFaculty,0,55,{}
55,hasFaculty,0,56,{}
56,hasFaculty,0,57,{}
57,hasFaculty,0,58,{}
58,hasFaculty,0,59,{}
59,hasFaculty,0,60,{}
60,hasFaculty,0,61,{}
61,hasFaculty,0,62,{}
62,hasFaculty,0,63,{}
63,hasDepartment,0,64,{}
64,hasDepartment,0,65,{}
65,hasDepartment,0,66,{}
66,hasDepartment,0,67,{}
67,hasDepartment,0,68,{}
68,offersProgram,0,69,{}
69,offersProgram,0,70,{}
70,offersProgram,0,71,{}
71,offersProgram,0,72,{}
72,offersProgram,0,73,{}
73,offersProgram,0,74,{}
74,offersProgram,0,75,{}
75,offersProgram,0,76,{}
76,offersProgram,0,77,{}
77,offersProgram,0,78,{}
78,offersProgram,0,79,{}
79,offersProgram,0,80,{}
80,offersProgram,0,81,{}
81,offersProgram,0,82,{}
82,offersProgram,0,83,{}
83,offersProgram,0,84,{}
84,offersProgram,0,85,{}
85,offersProgram,0,86,{}
86,offersProgram,0,87,{}
87,offersProgram,0,88,{}
88,offersProgram,0,89,{}
89,offersProgram,0,90,{}
90,offersProgram,0,91,{}
91,offersProgram,0,92,{}
92,offersProgram,0,93,{}
93,offersProgram,0,94,{}
94,offersProgram,0,95,{}
95,offersProgram,0,96,{}
96,offersProgram,0,97,{}
97,offersProgram,0,98,{}
98,offersProgram,0,99,{}
99,offersProgram,0,100,{}
100,offersProgram,0,101,{}
101,offersProgram,0,102,{}
102,offersProgram,0,103,{}
103,offersProgram,0,104,{}
104,offersProgram,0,105,{}
105,offersProgram,0,106,{}
106,offersProgram,0,107,{}
107,offersProgram,0,108,{}
108,offersProgram,0,109,{}
109,offersProgram,0,110,{}
110,offersProgram,0,111,{}
111,offersProgram,0,112,{}
112,offersProgram,0,113,{}
113,offersProgram,0,114,{}
114,offersProgram,0,115,{}
115,offersProgram,0,116,{}
116,offersProgram,0,117,{}
117,offersProgram,0,118,{}
118,offersProgram,0,119,{}
119,offersProgram,0,120,{}
120,offersProgram,0,121,{}
121,offersProgram,0,122,{}
122,hasCampus,0,123,{}
123,hasCampus,0,124,{}
124,hasCampus,0,125,{}
125,hasCampus,0,126,{}
126,hasInternationalCooperation,0,127,{}
127,hasInternationalCooperation,0,128,{}
128,hasInternationalCooperation,0,129,{}
129,hasInternationalCooperation,0,130,{}
130,hasInternationalCooperation,0,131,{}
131,hasInternationalCooperation,0,132,{}
132,hasInternationalCooperation,0,133,{}
133,offersInternationalProgram,0,134,{}
134,offersInternationalProgram,0,135,{}
135,offersInternationalProgram,0,136,{}
136,offersInternationalProgram,0,137,{}
137,offersInternationalProgram,0,138,{}
138,offersInternationalProgram,0,139,{}
139,cooperatesWithCountry,0,140,{}
140,cooperatesWithCountry,0,141,{}
141,cooperatesWithCountry,0,142,{}
142,cooperatesWithCountry,0,143,{}
143,cooperatesWithCountry,0,144,{}
144,cooperatesWithCountry,0,145,{}
145,cooperatesWithCountry,0,146,{}
146,cooperatesWithCountry,0,147,{}
147,cooperatesWithCountry,0,148,{}
148,cooperatesWithCountry,0,149,{}
149,cooperatesWithCountry,0,150,{}
150,cooperatesWithCountry,0,151,{}
151,partneredWith,134,127,{}
152,partneredWith,135,128,{}
153,partneredWith,135,133,{}
154,sponsoredBy,136,130,{}
155,sponsoredBy,136,131,{}
156,sponsoredBy,137,132,{}
157,partneredWith,138,129,{}
158,partneredWith,139,129,{}
159,locatedIn,127,140,{}
160,locatedIn,128,141,{}
161,locatedIn,130,142,{}
162,locatedIn,131,142,{}
163,locatedIn,132,141,{}
164,locatedIn,133,141,{}
165,locatedIn,129,143,{}
166,hasResearchPolicy,0,152,{}
167,hasResearchPolicy,0,153,{}
168,hasResearchPolicy,0,154,{}
169,hasResearchPolicy,0,155,{}
170,hasAward,0,156,{}
171,hasAward,0,157,{}
172,hasAward,0,158,{}
173,hasDepartment,0,159,{}
174,hasDepartment,0,160,{}
175,leadsTo,152,156,{}
176,leadsTo,152,157,{}
177,leadsTo,152,158,{}
178,includes,154,156,{}
179,includes,154,157,{}
180,includes,154,158,{}
181,manages,159,152,{}
182,manages,159,153,{}
183,manages,159,154,{}
184,manages,159,155,{}
185,publishedBy,161,0,{}
186,hasRequirement,161,162,{}
187,hasRequirement,161,163,{}
188,hasRequirement,161,164,{}
189,hasRequirement,161,165,{}
190,hasRequirement,161,166,{}
191,managedBy,161,167,{}
192,partOf,167,0,{}
193,hasSubmissionProcess,161,168,{}
194,hasSubmissionProcess,161,169,{}
