id,labels,properties
0,[University],"{description: Cơ sở giáo dục Đại học công lập trực thuộc UBND TP. Hồ Chí Minh, chịu sự quản lý nhà nước về giáo dục của Bộ Giáo dục và Đào tạo. Là trường đại học đào tạo đa ngành, đa lĩnh vực từ trình độ đại học và sau đại học theo phương thức chính quy và giáo dục thường xuyên. Được Chứng nhận kiểm định chất lượng giáo dục ngày 13/5/2017 và nhận Huân chương Lao động Hạng Ba năm 2018., name: Trường Đại học Sài Gòn}"
1,[Degree],"{description: Bằng cấp sau đại học cao nhất do Trường Đại học Sài Gòn cấp, với 05 chuyên ngành đào tạo., name: Tiến sĩ}"
2,[Degree],"{description: Bằng cấp sau đại học do Trường Đại học Sài Gòn cấp, với 12 chuyên ngành đào tạo., name: Cao học}"
3,[Degree],"{description: Bằng cấp cử nhân do Trường Đại học Sài Gòn cấp, với 39 chương trình đào tạo., name: Đại học}"
4,[Program],"{description: Chương trình đào tạo cấp bằng Tiến sĩ tại Trường Đại học Sài Gòn, bao gồm 05 chuyên ngành thuộc các lĩnh vực Kinh tế - Kỹ thuật - Công nghệ, Văn hóa xã hội, chính trị, Nghệ thuật và Sư phạm., name: Chương trình đào tạo Tiến sĩ}"
5,[Program],"{description: Chương trình đào tạo cấp bằng Cao học tại Trường Đại học Sài Gòn, bao gồm 12 chuyên ngành thuộc các lĩnh vực Kinh tế - Kỹ thuật - Công nghệ, Văn hóa xã hội, chính trị, Nghệ thuật và Sư phạm., name: Chương trình đào tạo Cao học}"
6,[Program],"{description: Chương trình đào tạo cấp bằng Đại học tại Trường Đại học Sài Gòn, bao gồm 39 chương trình thuộc các lĩnh vực Kinh tế - Kỹ thuật - Công nghệ, Văn hóa xã hội, chính trị, Nghệ thuật và Sư phạm., name: Chương trình đào tạo Đại học}"
7,[Program],"{description: Phương thức đào tạo tập trung toàn thời gian tại Trường Đại học Sài Gòn, áp dụng cho cả trình độ đại học và sau đại học., name: Đào tạo chính quy}"
8,[Program],"{description: Phương thức đào tạo không tập trung tại Trường Đại học Sài Gòn, bao gồm các hình thức vừa làm vừa học, văn bằng hai, liên thông, áp dụng cho cả trình độ đại học và sau đại học., name: Giáo dục thường xuyên}"
9,[Program],"{description: Chương trình đào tạo cấp chứng chỉ bồi dưỡng nghiệp vụ sư phạm cho giảng viên đại học, cao đẳng và giáo viên Tiếng Anh Tiểu học tại Trường Đại học Sài Gòn, được Bộ Giáo dục và Đào tạo cho phép., name: Bồi dưỡng nghiệp vụ sư phạm}"
10,[Program],"{description: Chương trình đào tạo cấp chứng chỉ Công nghệ Thông tin tại Trường Đại học Sài Gòn, được Bộ Giáo dục và Đào tạo cho phép., name: Chứng chỉ Công nghệ Thông tin}"
11,[Program],"{description: Chương trình đào tạo cấp chứng chỉ Tiếng Anh theo khung năng lực Ngoại ngữ 6 bậc dùng cho Việt Nam (VSTEP) tại Trường Đại học Sài Gòn, được Bộ Giáo dục và Đào tạo cho phép., name: Chứng chỉ Tiếng Anh VSTEP}"
12,[Department],"{description: Tổ chức lãnh đạo chính trị tại Trường Đại học Sài Gòn, định hướng và giám sát các hoạt động theo đường lối của Đảng., name: Đảng ủy}"
13,[Department],"{description: Người đứng đầu, chịu trách nhiệm quản lý và điều hành toàn bộ hoạt động của Trường Đại học Sài Gòn., name: Hiệu trưởng}"
14,[Department],"{description: Giúp việc cho Hiệu trưởng, phụ trách các mảng công tác cụ thể theo sự phân công trong quản lý Trường Đại học Sài Gòn., name: Các Phó Hiệu trưởng}"
15,[Department],"{description: Tổ chức quản trị, đại diện quyền sở hữu của nhà trường, có chức năng quyết nghị về chiến lược, quy hoạch, kế hoạch phát triển của Trường Đại học Sài Gòn., name: Hội đồng trường}"
16,[Department],"{description: Tổ chức đại diện cho quyền và lợi ích hợp pháp, chính đáng của cán bộ, viên chức, người lao động tại Trường Đại học Sài Gòn., name: Công đoàn}"
17,[Department],"{description: Tổ chức chính trị - xã hội của thanh niên Việt Nam tại Trường Đại học Sài Gòn, thực hiện công tác giáo dục, rèn luyện đoàn viên, sinh viên., name: Đoàn Thanh niên}"
18,[Department],"{description: Tổ chức đại diện cho sinh viên Trường Đại học Sài Gòn, chăm lo đời sống vật chất, tinh thần và bảo vệ quyền lợi hợp pháp của sinh viên., name: Hội Sinh viên}"
19,[Department],"{description: Phòng ban chức năng chịu trách nhiệm quản lý, tổ chức và giám sát công tác đào tạo trình độ đại học hệ chính quy tại Trường Đại học Sài Gòn., name: Phòng Đào tạo}"
20,[Department],"{description: Phòng ban chức năng tham mưu và thực hiện công tác tổ chức bộ máy, quản lý nhân sự, cán bộ, viên chức tại Trường Đại học Sài Gòn., name: Phòng Tổ chức - Cán bộ}"
21,[Department],"{description: Phòng ban chức năng thực hiện công tác hành chính, tổng hợp, văn thư, lưu trữ và lễ tân tại Trường Đại học Sài Gòn., name: Văn phòng}"
22,[Department],"{description: Phòng ban chức năng chịu trách nhiệm lập kế hoạch, quản lý và giám sát các hoạt động tài chính, tài sản của Trường Đại học Sài Gòn., name: Phòng Kế hoạch - Tài chính}"
23,[Department],"{description: Phòng ban chức năng quản lý, hỗ trợ và thực hiện các chế độ, chính sách liên quan đến sinh viên tại Trường Đại học Sài Gòn., name: Phòng Công tác sinh viên}"
24,[Department],"{description: Phòng ban chức năng quản lý, thúc đẩy và hỗ trợ các hoạt động nghiên cứu khoa học của cán bộ, giảng viên và sinh viên Trường Đại học Sài Gòn., name: Phòng Quản lý khoa học}"
25,[Department],"{description: Phòng ban chức năng chịu trách nhiệm quản lý, tổ chức và giám sát công tác đào tạo trình độ thạc sĩ và tiến sĩ tại Trường Đại học Sài Gòn., name: Phòng Đào tạo sau đại học}"
26,[Department],"{description: Phòng ban chức năng thực hiện công tác thanh tra, kiểm tra việc chấp hành pháp luật và quy chế của trường; tư vấn pháp lý cho Trường Đại học Sài Gòn., name: Phòng Thanh tra - Pháp chế}"
