id,type,source,target,properties
0,hasDegree,0,1,{}
1,hasDegree,0,2,{}
2,hasDegree,0,3,{}
3,offersProgram,0,4,{}
4,offersProgram,0,5,{}
5,offersProgram,0,6,{}
6,offersProgram,0,7,{}
7,offersProgram,0,8,{}
8,offersProgram,0,9,{}
9,offersProgram,0,10,{}
10,offersProgram,0,11,{}
11,hasDepartment,0,12,{}
12,hasDepartment,0,13,{}
13,hasDepartment,0,14,{}
14,hasDepartment,0,15,{}
15,hasDepartment,0,16,{}
16,hasDepartment,0,17,{}
17,hasDepartment,0,18,{}
18,hasDepartment,0,19,{}
19,hasDepartment,0,20,{}
20,hasDepartment,0,21,{}
21,hasDepartment,0,22,{}
22,hasDepartment,0,23,{}
23,hasDepartment,0,24,{}
24,hasDepartment,0,25,{}
25,hasDepartment,0,26,{}
26,hasDepartment,0,27,{}
27,hasDepartment,0,28,{}
28,hasDepartment,0,29,{}
29,hasDepartment,0,30,{}
30,hasDepartment,0,31,{}
31,hasDepartment,0,32,{}
32,hasDepartment,0,33,{}
33,hasDepartment,0,34,{}
34,hasDepartment,0,35,{}
35,hasDepartment,0,36,{}
36,hasDepartment,0,37,{}
37,hasDepartment,0,38,{}
38,hasDepartment,0,39,{}
39,hasDepartment,0,40,{}
40,hasFaculty,0,41,{}
41,hasFaculty,0,42,{}
42,hasFaculty,0,43,{}
43,hasFaculty,0,44,{}
44,hasFaculty,0,45,{}
45,hasFaculty,0,46,{}
46,hasFaculty,0,47,{}
47,hasFaculty,0,48,{}
48,hasFaculty,0,49,{}
49,hasFaculty,0,50,{}
50,hasFaculty,0,51,{}
51,hasFaculty,0,52,{}
52,hasFaculty,0,53,{}
53,hasFaculty,0,54,{}
54,hasFaculty,0,55,{}
55,hasFaculty,0,56,{}
56,hasFaculty,0,57,{}
57,conductsResearch,0,58,{}
58,hasDepartment,0,58,{}
59,conductsResearch,0,59,{}
60,hasDepartment,0,59,{}
61,hasDepartment,0,60,{}
62,hasDepartment,0,61,{}
63,hasDepartment,0,62,{}
64,offersProgram,0,63,{}
65,offersProgram,0,64,{}
66,offersProgram,0,65,{}
67,offersProgram,0,66,{}
68,offersProgram,0,67,{}
69,offersProgram,0,68,{}
70,offersProgram,0,69,{}
71,offersProgram,0,70,{}
72,offersProgram,0,71,{}
73,offersProgram,0,72,{}
74,offersProgram,0,73,{}
75,offersProgram,0,74,{}
76,offersProgram,0,75,{}
77,offersProgram,0,76,{}
78,offersProgram,0,77,{}
79,offersProgram,0,78,{}
80,offersProgram,0,79,{}
81,offersProgram,0,80,{}
82,offersProgram,0,81,{}
83,offersProgram,0,82,{}
84,offersProgram,0,83,{}
85,offersProgram,0,84,{}
86,offersProgram,0,85,{}
87,offersProgram,0,86,{}
88,offersProgram,0,87,{}
89,offersProgram,0,88,{}
90,offersProgram,0,89,{}
91,offersProgram,0,90,{}
92,offersProgram,0,91,{}
93,offersProgram,0,92,{}
94,offersProgram,0,93,{}
95,offersProgram,0,94,{}
96,offersProgram,0,95,{}
97,offersProgram,0,96,{}
98,offersProgram,0,97,{}
99,offersProgram,0,98,{}
100,offersProgram,0,99,{}
101,offersProgram,0,100,{}
102,offersProgram,0,101,{}
103,offersProgram,0,102,{}
104,offersProgram,0,103,{}
105,offersProgram,0,104,{}
106,offersProgram,0,105,{}
107,offersProgram,0,106,{}
108,offersProgram,0,107,{}
109,offersProgram,0,108,{}
110,offersProgram,0,109,{}
111,offersProgram,0,110,{}
112,offersProgram,0,111,{}
113,offersProgram,0,112,{}
114,offersProgram,0,113,{}
115,offersProgram,0,114,{}
116,offersProgram,0,115,{}
117,offersProgram,0,116,{}
118,offersProgram,0,117,{}
119,offersProgram,0,118,{}
120,offersProgram,0,119,{}
121,offersProgram,0,120,{}
122,offersProgram,0,121,{}
123,hasDepartment,0,122,{}
124,hasDepartment,0,123,{}
125,hasDepartment,0,124,{}
126,hasDepartment,0,125,{}
127,hasInternationalCooperation,0,126,{}
128,hasInternationalCooperation,0,127,{}
129,offersProgram,0,128,{}
130,hasInternationalCooperation,0,129,{}
131,offersProgram,0,130,{}
132,hasInternationalCooperation,0,131,{}
133,offersProgram,0,132,{}
134,hasInternationalCooperation,0,133,{}
135,offersProgram,0,134,{}
136,hasInternationalCooperation,0,135,{}
137,offersProgram,0,136,{}
138,offersProgram,0,137,{}
139,conductsResearch,0,138,{}
140,conductsResearch,0,139,{}
141,hasStudent,0,140,{}
142,hasFaculty,0,141,{}
143,conductsResearch,0,142,{}
144,publishesIn,0,143,{}
145,conductsResearch,0,144,{}
146,publishesIn,0,145,{}
147,hasDepartment,0,146,{}
148,conductsResearch,0,147,{}
