id,labels,properties
0,[University],"{description: Trường Đại học Sài Gòn là cơ sở giáo dục Đại học công lập trực thuộc UBND TP. Hồ Chí Minh, chịu sự quản lý nhà nước về giáo dục của Bộ Giáo dục và Đào tạo; là trường đại học đào tạo đa ngành, đa lĩnh vực. Trường Đại học Sài Gòn đào tạo từ trình độ đại học và sau đại học, theo 2 phương thức: chính quy và giáo dục thường xuyên (vừa làm vừa học, văn bằng hai, liên thông). Hiện nay, Trường đang tổ chức đào tạo 05 chuyên ngành tiến sĩ, 12 chuyên ngành cao học và 39 chương trình đào tạo trình độ đại học thuộc các lĩnh vực: Kinh tế - Kỹ thuật - Công nghệ, Văn hóa xã hội, chính trị, Nghệ thuật và Sư phạm. Ngoài việc cấp bằng, Trường Đại học Sài Gòn được Bộ Giáo dục và Đào tạo cho phép đào tạo cấp các chứng chỉ Bồi dưỡng nghiệp vụ sư phạm cho giảng viên đại học, cao đẳng và bồi dưỡng nghiệp vụ sư phạm cho giáo viên Tiếng Anh Tiểu học, chứng chỉ Công nghệ Thông tin và chứng chỉ Tiếng Anh theo khung năng lực Ngoại ngữ 6 bậc dùng cho Việt Nam. Ngày 13/5/2017, Trường Đại học Sài Gòn được Chứng nhận kiểm định chất lượng giáo dục trường đại học. Năm 2018, Trường đón nhận Huân chương Lao động Hạng Ba do Chủ tịch nước Cộng hòa Xã hội Chủ nghĩa Việt Nam trao tặng., name: Trường Đại học Sài Gòn}"
1,[Degree],"{description: Bằng cử nhân là bằng cấp được cấp cho sinh viên hoàn thành chương trình đào tạo đại học., name: Cử nhân}"
2,[Degree],"{description: Bằng thạc sĩ là bằng cấp được cấp cho sinh viên hoàn thành chương trình đào tạo sau đại học., name: Thạc sĩ}"
3,[Degree],"{description: Bằng tiến sĩ là bằng cấp cao nhất trong hệ thống giáo dục đại học., name: Tiến sĩ}"
4,[Program],"{description: Chương trình đào tạo chính quy dành cho sinh viên học tập toàn thời gian., name: Chương trình chính quy}"
5,[Program],"{description: Chương trình đào tạo dành cho người học vừa làm vừa học., name: Chương trình giáo dục thường xuyên}"
6,[Program],"{description: Chương trình đào tạo chất lượng cao với tiêu chuẩn quốc tế., name: Chương trình chất lượng cao}"
7,[Department],"{description: Khoa Kinh tế đào tạo các chuyên ngành liên quan đến kinh tế và quản trị., name: Khoa Kinh tế}"
8,[Department],"{description: Khoa Kỹ thuật đào tạo các chuyên ngành kỹ thuật và công nghệ., name: Khoa Kỹ thuật}"
9,[Department],"{description: Khoa Nghệ thuật đào tạo các chuyên ngành nghệ thuật và thiết kế., name: Khoa Nghệ thuật}"
10,[Research],"{description: Dự án nghiên cứu về phát triển bền vững., name: Dự án nghiên cứu 1}"
11,[Research],"{description: Dự án nghiên cứu về công nghệ thông tin., name: Dự án nghiên cứu 2}"
12,[InternationalCooperation],"{description: Hợp tác với các trường đại học quốc tế trong lĩnh vực giáo dục., name: Hợp tác quốc tế 1}"
13,[InternationalCooperation],"{description: Hợp tác nghiên cứu với các tổ chức quốc tế., name: Hợp tác quốc tế 2}"
14,[Journal],"{description: Tạp chí khoa học công bố các nghiên cứu và bài viết trong lĩnh vực giáo dục và nghiên cứu., name: Tạp chí Khoa học}"
15,[Student],"{description: Sinh viên đang theo học tại Trường Đại học Sài Gòn., name: Sinh viên 1}"
16,[Student],"{description: Sinh viên đang theo học tại Trường Đại học Sài Gòn., name: Sinh viên 2}"
17,[Faculty],"{description: Giảng viên có nhiều năm kinh nghiệm trong lĩnh vực giảng dạy., name: Giảng viên 1}"
18,[Faculty],"{description: Giảng viên chuyên ngành Kỹ thuật với nhiều nghiên cứu nổi bật., name: Giảng viên 2}"
19,[Department],"{description: Ban lãnh đạo của Trường Đại học Sài Gòn bao gồm Đảng ủy, Hiệu trưởng, Các Phó Hiệu trưởng và Hội đồng trường., name: Ban lãnh đạo}"
20,[Department],"{description: Các tổ chức đoàn thể trong Trường Đại học Sài Gòn bao gồm Công đoàn, Đoàn Thanh niên và Hội Sinh viên., name: Các tổ chức đoàn thể}"
21,[Department],"{description: Các phòng ban chức năng bao gồm Đào tạo, Tổ chức - Cán bộ, Văn phòng, Kế hoạch - Tài chính, Công tác sinh viên, Quản lý khoa học, Đào tạo sau đại học, Thanh tra - Pháp chế, Khảo thí & Đảm bảo chất lượng, Ban Quản lý Dự án & Xây dựng, Hợp tác quốc tế & Doanh nghiệp, Thiết bị, Giáo dục thường xuyên., name: Các phòng ban chức năng}"
22,[Department],"{description: Các trung tâm trực thuộc bao gồm Khảo thí, Đào tạo quốc tế, Hỗ trợ sinh viên, Học liệu, Công nghệ thông tin, Ngoại ngữ, Trung tâm Tuyển sinh & Truyền thông, Trung tâm Ký túc xá, Trạm Y tế., name: Các trung tâm trực thuộc}"
