id,type,source,target,properties
0,hasDegree,0,1,{}
1,hasDegree,0,2,{}
2,hasDegree,0,3,{}
3,offersProgram,0,4,{}
4,offersProgram,0,5,{}
5,offersProgram,0,6,{}
6,hasDepartment,0,7,{}
7,hasDepartment,0,8,{}
8,hasDepartment,0,9,{}
9,conductsResearch,0,10,{}
10,conductsResearch,0,11,{}
11,hasInternationalCooperation,0,12,{}
12,hasInternationalCooperation,0,13,{}
13,publishesIn,0,14,{}
14,hasStudent,0,15,{}
15,hasStudent,0,16,{}
16,hasFaculty,0,17,{}
17,hasFaculty,0,18,{}
18,hasDepartment,0,19,{}
19,hasDepartment,0,20,{}
20,hasDepartment,0,21,{}
21,hasDepartment,0,22,{}
22,hasDepartment,0,23,{}
23,hasDepartment,0,24,{}
24,offersProgram,0,25,{}
25,offersProgram,25,26,{}
26,offersProgram,25,27,{}
27,offersProgram,0,28,{}
28,offersProgram,0,29,{}
29,offersProgram,0,30,{}
30,offersProgram,26,31,{}
31,offersProgram,31,32,{}
32,offersProgram,31,33,{}
33,offersProgram,31,34,{}
34,offersProgram,31,35,{}
35,offersProgram,31,36,{}
36,offersProgram,31,37,{}
37,offersProgram,31,38,{}
38,offersProgram,31,39,{}
39,offersProgram,31,40,{}
40,offersProgram,31,41,{}
41,offersProgram,31,42,{}
42,offersProgram,31,43,{}
43,offersProgram,31,44,{}
44,offersProgram,31,45,{}
45,offersProgram,31,46,{}
46,offersProgram,31,47,{}
47,offersProgram,31,48,{}
48,offersProgram,31,49,{}
49,offersProgram,31,50,{}
50,offersProgram,28,51,{}
51,offersProgram,28,52,{}
52,offersProgram,28,53,{}
53,offersProgram,28,54,{}
54,offersProgram,28,55,{}
55,offersProgram,28,56,{}
56,offersProgram,28,57,{}
57,offersProgram,29,58,{}
58,offersProgram,29,59,{}
59,offersProgram,29,60,{}
60,offersProgram,29,61,{}
61,offersProgram,29,62,{}
62,offersProgram,30,63,{}
63,offersProgram,30,64,{}
64,offersProgram,30,65,{}
65,hasInternationalCooperation,0,66,{}
66,includes,66,67,{}
67,includes,66,68,{}
68,offersProgram,68,69,{}
69,offersProgram,68,70,{}
70,offersProgram,68,71,{}
71,offersProgram,68,72,{}
72,offersProgram,68,73,{}
73,conductsResearch,0,74,{}
74,conductsResearch,0,75,{}
75,conductsResearch,0,76,{}
76,publishesIn,0,77,{}
77,hasPurpose,77,78,{}
78,hasSubmissionGuidelines,77,79,{}
79,hasSubmissionFormat,77,80,{}
