subject,predicate,object
http://example.org/sgu#Bộ_Giáo_dục_Đài_Loan,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Giáo_dục_thường_xuyên
http://example.org/sgu#Khoa_Sư_phạm_Khoa_học_Xã_hội,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#hasDepartment,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Trung_tâm_Học_liệu
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Giáo_dục_Mầm_non___Kế_toán
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Liên_thông_Giáo_dục_Tiểu_học
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Liên_thông_Giáo_dục_Mầm_non
http://example.org/sgu#Phòng_Hợp_tác_quốc_tế___Doanh_nghiệp,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Chính_quy
http://example.org/sgu#cooperatesWithCountry,http://www.w3.org/2000/01/rdf-schema#domain,http://example.org/sgu#Trường_Đại_học_Sài_Gòn
http://example.org/sgu#Trường_Tiểu_học_Thực_hành_Sài_Gòn,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasDepartment,http://example.org/sgu#Trung_tâm_Hỗ_trợ_sinh_viên
http://example.org/sgu#Lịch_sử_Việt_Nam__Tiến_sĩ_,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#hasCampus,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Cơ_sở_105_Bà_Huyện_Thanh_Quan
http://example.org/sgu#Giải_thưng_Sinh_viên_NCKH_cấp_Bộ,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasDepartment,http://example.org/sgu#Phòng_Tổ_chức___Cán_bộ
http://example.org/sgu#Bài_báo_khoa_học,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Khoa_Thư_viện___Văn_phòng,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Asian_Nursing_Scholarship,http://example.org/sgu#sponsoredBy,http://example.org/sgu#Bộ_Y_tế_Singapore
http://example.org/sgu#hasDepartment,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Văn_phòng
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Giáo_dục_Chính_trị___Du_lịch
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Liên_thông_Công_nghệ_Thông_tin
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasDepartment,http://example.org/sgu#Trung_tâm_Học_liệu
http://example.org/sgu#Đảng_ủy,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#hasDepartment,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Trung_tâm_Đào_tạo_quốc_tế
http://example.org/sgu#offersInternationalProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Thạc_sĩ_Giảng_dạy_tiếng_Anh__TESOL_
http://example.org/sgu#Trung_tâm_Công_nghệ_thông_tin,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Tài_chính___Ngân_hàng__Thạc_sĩ_
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Vừa_làm_vừa_học_Quản_trị_Kinh_doanh
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasField,http://example.org/sgu#Kinh_tế___Kỹ_thuật___Công_nghệ
http://example.org/sgu#offersInternationalProgram,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://example.org/sgu#hasFaculty,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Khoa_Khoa_học_Chính_trị
http://example.org/sgu#Tạp_chí_Khoa_học_Đại_học_Sài_Gòn,http://example.org/sgu#managedBy,http://example.org/sgu#Ban_Biên_tập_Tạp_chí_Khoa_học
http://example.org/sgu#Nga,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Văn_bằng_hai_Giáo_dục_Tiểu_học
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Văn_học_Việt_Nam__Thạc_sĩ_
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasDepartment,http://example.org/sgu#Văn_phòng
http://example.org/sgu#Cơ_sở_273_An_Dương_Vương,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersInternationalProgram,http://example.org/sgu#Chương_trình_chuyển_tiếp_Đại_học_Huddersfield
http://example.org/sgu#Viện_Khoa_học_Dữ_liệu_và_Trí_tuệ_nhân_tạo,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Hiệp_hội_Phát_triển_Kinh_tế_Văn_hóa_Giáo_dục_Đài_Việt,http://example.org/sgu#locatedIn,http://example.org/sgu#Đài_Loan
http://example.org/sgu#hasDegree,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://example.org/sgu#hasCampus,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasFaculty,http://example.org/sgu#Khoa_Giáo_dục_Tiểu_học
http://example.org/sgu#Trích_dẫn_tài_liệu,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Vừa_làm_vừa_học_Tài_chính___Kế_toán
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Sư_phạm_Địa_lý___Kỹ_thuật_Điện
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Sư_phạm_Lịch_sử___Địa_lý___Ngôn_ngữ_Anh
http://example.org/sgu#Chương_trình_chuyển_tiếp_Đại_học_Huddersfield,http://example.org/sgu#partneredWith,http://example.org/sgu#Đại_học_Huddersfield
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Sư_phạm_Hóa_học___Kỹ_thuật_Điện_tử___Viễn_thông
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Văn_bằng_hai_Ngôn_ngữ_Anh
http://example.org/sgu#hasInternationalCooperation,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Đại_học_Khoa_học_Ứng_dụng_IMC_Krems
http://example.org/sgu#hasRequirement,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Cấu_trúc_bài_báo
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Hóa_hữu_cơ__Tiến_sĩ_
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasFaculty,http://example.org/sgu#Khoa_Nghệ_thuật
http://example.org/sgu#hasDepartment,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Hội_đồng_trường
http://example.org/sgu#Công_nghệ_Kỹ_thuật_Môi_trường___Toán_Ứng_dụng,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#hasAccreditation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasFaculty,http://example.org/sgu#Khoa_Văn_hóa_và_Du_lịch
http://example.org/sgu#hasInternationalCooperation,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Bộ_Y_tế_Singapore
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#CNKT_Điện_tử___Viễn_thông___Thanh_nhạc
http://example.org/sgu#hasDepartment,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Trung_tâm_Tuyển_sinh___Truyền_thông
http://example.org/sgu#hasInternationalCooperation,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Đại_học_Huddersfield
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Lịch_sử_Việt_Nam__Thạc_sĩ_
http://example.org/sgu#Phòng_Giáo_dục_thường_xuyên,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Trung_Quốc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Tạp_chí_Khoa_học_Đại_học_Sài_Gòn,http://example.org/sgu#hasRequirement,http://example.org/sgu#Yêu_cầu_hình_thức_bài_báo
http://example.org/sgu#CNKT_Điện_tử___Viễn_thông___Thanh_nhạc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Sư_phạm_Hóa_học___Kỹ_thuật_Điện_tử___Viễn_thông,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Ngôn_ngữ_học__Thạc_sĩ_
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#cooperatesWithCountry,http://example.org/sgu#Singapore
http://example.org/sgu#CNKT_Điện__Điện_tử___Thông_tin___Thư_viện,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Luật_dân_sự_và_tố_tụng_dân_sự__Thạc_sĩ_,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#offersCertificate,http://www.w3.org/2000/01/rdf-schema#domain,http://example.org/sgu#Trường_Đại_học_Sài_Gòn
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasDepartment,http://example.org/sgu#Hội_đồng_trường
http://example.org/sgu#Đào_tạo_tiếng_Hoa__Đài_Loan_,http://example.org/sgu#partneredWith,http://example.org/sgu#Hiệp_hội_Phát_triển_Kinh_tế_Văn_hóa_Giáo_dục_Đài_Việt
http://example.org/sgu#Phòng_Quản_lý_khoa_học,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasField,http://example.org/sgu#Sư_phạm
