subject,predicate,object
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#offersProgram,http://example.org/sgu#Giáo_dục_thường_xuyên
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Giáo_dục_Mầm_non___Kế_toán
http://example.org/sgu#Các_chương_trình_hợp_tác__đào_tạo_quốc_tế,http://example.org/sgu#offersProgram,http://example.org/sgu#Học_bổng_toàn_phần_của_Bộ_Y_tế_Singapore
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasDepartment,http://example.org/sgu#Khoa_Nghệ_thuật
http://example.org/sgu#Chương_trình_đại_trà,http://example.org/sgu#offersProgram,http://example.org/sgu#Công_nghệ_Kỹ_thuật_Môi_trường___Toán_Ứng_dụng
http://example.org/sgu#Chương_trình_đại_trà,http://example.org/sgu#offersProgram,http://example.org/sgu#Giáo_dục_Tiểu_học___Khoa_học_Môi_trường
http://example.org/sgu#conductsResearch,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Đề_tài_Nghiên_cứu_khoa_học_cấp_cơ_sở
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Trình_độ_Đại_học
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Quản_trị_Kinh_doanh
http://example.org/sgu#Trường_Đại_học_Sài_Gòn,http://example.org/sgu#hasDepartment,http://example.org/sgu#Các_tổ_chức_đoàn_thể
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#domain,http://example.org/sgu#Trình_độ_Sau_Đại_học
http://example.org/sgu#hasDepartment,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Các_trung_tâm_trực_thuộc
http://example.org/sgu#offersProgram,http://www.w3.org/2000/01/rdf-schema#range,http://example.org/sgu#Giáo_dục_Chính_trị___Du_lịch
http://example.org/sgu#Trình_độ_Sau_Đại_học,http://example.org/sgu#offersProgram,http://example.org/sgu#Lịch_sử_Việt_Nam___Văn_học_Việt_Nam
http://example.org/sgu#Hợp_tác_quốc_tế,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://example.org/sgu#conductsResearch,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
